DateTime,Entries,UniqueIPs
1469692570,49,49
1469694492,52,52
1469696445,41,41
1469698350,62,62
1469700263,45,45
1469702179,51,51
1469704097,49,49
1469706030,60,60
1469707960,60,60
1469709852,55,55
1469711781,50,50
1469713702,52,52
1469715642,55,55
1469717538,58,58
1469719449,57,57
1469721389,34,34
1469723308,48,48
1469725252,60,60
1469727153,43,43
1469729068,27,27
1469730989,55,55
1469732911,35,35
1469734820,29,29
1469737015,38,38
1469738926,42,42
1469740854,41,41
1469742751,40,40
1469744667,47,47
1469746607,54,54
1469748516,49,49
1469750452,48,48
1469752360,56,56
1469754265,50,50
1469756211,52,52
1469758105,55,55
1469760045,53,53
1469761957,52,52
1469763857,47,47
1469765802,58,58
1469767702,54,54
1469769615,52,52
1469771566,45,45
1469773468,55,55
1469775403,56,56
1469777311,61,61
1469779235,60,60
1469781154,70,70
1469783069,58,58
1469785000,51,51
1469786918,58,58
1469788822,25,25
1469790754,50,50
1469792654,53,53
1469794579,55,55
1469796496,55,55
1469798429,52,52
1469800392,49,49
1469802251,50,50
1469804186,46,46
1469806124,52,52
1469808081,57,57
1469809946,57,57
1469811861,45,45
1469813782,47,47
1469815699,57,57
1469817634,55,55
1469819553,47,47
1469821471,56,56
1469823390,53,53
1469825302,48,48
1469827249,56,56
1469829150,51,51
1469831048,31,31
1469832998,68,68
1469834907,61,61
1469836850,48,48
1469838754,37,37
1469840684,58,58
1469842594,54,54
1469844528,66,66
1469846419,45,45
1469848349,53,53
1469850248,50,50
1469852180,56,56
1469854099,61,61
1469856021,66,66
1469857951,67,67
1469859855,64,64
1469861788,59,59
1469863700,68,68
1469865644,56,56
1469867544,60,60
1469869458,53,53
1469871406,58,58
1469873325,65,65
1469875223,36,36
1469877141,65,65
1469879058,68,68
1469881024,66,66
1469882916,58,58
1469884819,69,69
1469886740,59,59
1469888652,46,46
1469890601,57,57
1469892507,64,64
1469894451,51,51
1469896348,50,50
1469898266,52,52
1469900198,59,59
1469902101,53,53
1469904024,56,56
1469905952,58,58
1469907860,45,45
1469909796,61,61
1469911696,44,44
1469913619,50,50
1469915553,53,53
1469917466,46,46
1469919383,63,63
1469921318,51,51
1469923263,51,51
1469925159,47,47
1469927059,48,48
1469928985,55,55
1469930906,53,53
1469932823,57,57
1469934743,47,47
1469936654,39,39
1469938607,48,48
1469940512,53,53
1469942438,65,65
1469944346,61,61
1469946253,67,67
1469948193,72,72
1469950103,58,58
1469952047,59,59
1469953975,49,49
1469955860,46,46
1469957780,50,50
1469959704,59,59
1469961615,16,16
1469963544,45,45
1469965450,54,54
1469967388,43,43
1469969303,45,45
1469971216,30,30
1469973143,42,42
1469975055,36,36
1469976981,29,29
1469978908,34,34
1469980834,20,20
1469982743,34,34
1469984655,33,33
1469986594,34,34
1469988518,35,35
1469990443,36,36
1469992351,23,23
1469994266,38,38
1469996180,58,58
1469998113,52,52
1470000023,53,53
1470001951,46,46
1470003850,36,36
1470005789,50,50
1470007703,54,54
1470009632,53,53
1470011542,42,42
1470013459,59,59
1470015385,45,45
1470017309,46,46
1470019219,36,36
1470021143,40,40
1470023052,36,36
1470024986,38,38
1470026909,40,40
1470028888,64,64
1470030754,54,54
1470032688,71,71
1470034619,60,60
1470036504,57,57
1470038682,55,55
1470040589,38,38
1470042492,50,50
1470044411,51,51
1470046347,26,26
1470048246,27,27
1470050173,47,47
1470052093,63,63
1470054042,61,61
1470056042,52,52
1470057966,60,60
1470059777,41,41
1470061746,51,51
1470063643,48,48
1470065569,32,32
1470067457,34,34
1470069383,55,55
1470071301,53,53
1470073224,51,51
1470075182,45,45
1470077063,39,39
1470078989,46,46
1470080913,43,43
1470082828,38,38
1470084750,28,28
1470086659,46,46
1470088575,37,37
1470090514,38,38
1470092441,55,55
1470094456,33,33
1470096267,49,49
1470098467,53,53
1470100356,44,44
1470102267,47,47
1470104192,46,46
1470106112,56,56
1470108010,54,54
1470109936,48,48
1470111849,52,52
1470113783,38,38
1470115709,53,53
1470117651,58,58
1470119547,50,50
1470121459,58,58
1470123399,59,59
1470125282,63,63
1470127215,43,43
1470129411,66,66
1470131322,64,64
1470133236,15,15
1470135176,57,57
1470137055,58,58
1470138987,40,40
1470140918,56,56
1470142866,54,54
1470144746,56,56
1470146657,58,58
1470148599,59,59
1470150510,54,54
1470152432,57,57
1470154343,46,46
1470156263,53,53
1470158190,38,38
1470160112,46,46
1470162024,57,57
1470163951,36,36
1470165849,61,61
1470167790,45,45
1470169697,49,49
1470171648,41,41
1470173534,42,42
1470175459,34,34
1470177378,41,41
1470179322,38,38
1470181244,28,28
1470183151,33,33
1470185057,39,39
1470186990,37,37
1470188916,45,45
1470190825,42,42
1470192782,54,54
1470194653,57,57
1470196584,51,51
1470198513,54,54
1470200444,53,53
1470202364,60,60
1470204268,56,56
1470206190,60,60
1470208106,49,49
1470210024,40,40
1470212161,51,51
1470214107,54,54
1470216014,58,58
1470217848,57,57
1470219851,23,23
1470221781,59,59
1470223691,57,57
1470225633,54,54
1470227536,48,48
1470229455,54,54
1470231385,61,61
1470233294,50,50
1470235226,62,62
1470237141,47,47
1470239050,48,48
1470241000,47,47
1470242909,53,53
1470244831,49,49
1470246775,58,58
1470248658,57,57
1470250581,48,48
1470252519,56,56
1470254433,57,57
1470256610,54,54
1470258505,59,59
1470260429,47,47
1470262386,28,28
1470264257,49,49
1470266185,42,42
1470268115,54,54
1470270019,48,48
1470271982,53,53
1470273849,46,46
1470275783,45,45
1470277704,50,50
1470279713,50,50
1470281541,43,43
1470283455,56,56
1470285386,56,56
1470287309,51,51
1470289237,50,50
1470291398,52,52
1470293303,57,57
1470295230,57,57
1470297155,62,62
1470299062,53,53
1470300984,62,62
1470302902,65,65
1470304845,48,48
